Title,Pop
Hatchet For the Honeymoon (Rosso Segno Della Follia) (1969),0
House Party (1990),2
House Party 2 (1991),1
Make Mine Music (1946),1
Melody Time (1948),1
Nekromantik (1987),0
On Our Merry Way (1948),0
Project Moon Base (1953),0
Rocketship X-M (1950),1
Shaft in Africa (1973),1
Shaft's Big Score! (1972),1
Croupier (1998),3
"Kid, The (2000)",2
Scary Movie (2000),4
But I'm a Cheerleader (1999),3
Shower (Xizhao) (1999),1
Blowup (1966),3
"Pawnbroker, The (1965)",2
Groove (2000),1
Footloose (1984),4
Duel in the Sun (1946),2
X-Men (2000),4
Chuck & Buck (2000),2
"Five Senses, The (1999)",2
"Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)",0
"In Crowd, The (2000)",1
What Lies Beneath (2000),4
Pokémon the Movie 2000 (2000),2
Criminal Lovers (Les Amants Criminels) (1999),0
Anatomy of a Murder (1959),3
Freejack (1992),3
Greaser's Palace (1972),0
H.O.T.S. (1979),1
Knightriders (1981),1
MacKenna's Gold (1969),1
Sinbad and the Eye of the Tiger (1977),2
Two Women (La Ciociara) (1961),1
What About Bob? (1991),4
White Sands (1992),2
Breaker Morant (1980),3
Everything You Always Wanted to Know About Sex (1972),3
Interiors (1978),2
Love and Death (1975),3
"Official Story, The (La Historia Oficial) (1985)",1
"Other Side of Sunday, The (Søndagsengler) (1996)",0
Pot O' Gold (1941),0
Tampopo (1986),3
Thomas and the Magic Railroad (2000),1
Nutty Professor II: The Klumps (2000),3
"Girl on the Bridge, The (La Fille sur le Pont) (1999)",2
Wonderland (1999),2
Autumn in New York (2000),2
Coyote Ugly (2000),3
Hollow Man (2000),3
Space Cowboys (2000),4
Better Living (1998),0
Mad About Mambo (2000),0
Psycho Beach Party (2000),1
Saving Grace (2000),3
"Black Sabbath (Tre Volti Della Paura, I) (1963)",1
"Brain That Wouldn't Die, The (1962)",1
Bronco Billy (1980),3
"Crush, The (1993)",3
Kelly's Heroes (1970),3
Phantasm II (1988),2
Phantasm III: Lord of the Dead (1994),1
Phantasm IV: Oblivion (1998),1
Pumpkinhead (1988),2
Air America (1990),3
Make Them Die Slowly (Cannibal Ferox) (1980),0
Sleepaway Camp (1983),1
Steel Magnolias (1989),3
And God Created Woman (Et Dieu&#8230;Créa la Femme) (1956),1
Easy Money (1983),2
"Ilsa, She Wolf of the SS (1974)",1
Silent Fall (1994),1
"Spiral Staircase, The (1946)",1
Whatever Happened to Aunt Alice? (1969),0
I'm the One That I Want (2000),1
"Tao of Steve, The (2000)",3
"Tic Code, The (1998)",0
Aimée & Jaguar (1999),1
"Affair of Love, An (Une Liaison Pornographique) (1999)",1
Autumn Heart (1999),0
Bless the Child (2000),1
Cecil B. Demented (2000),2
"Eyes of Tammy Faye, The (2000)",2
"Opportunists, The (1999)",0
"Replacements, The (2000)",3
About Adam (2000),1
"Cell, The (2000)",4
Godzilla 2000 (Gojira ni-sen mireniamu) (1999),2
"Original Kings of Comedy, The (2000)",2
Sunset Strip (2000),0
All the Rage (a.k.a. It's the Rage) (1999),0
"Naked Gun: From the Files of Police Squad!, The (1988)",4
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",4
Our Town (1940),1
Shane (1953),3
"Suddenly, Last Summer (1959)",2
Cat Ballou (1965),3
"Couch in New York, A (1996)",1
"Devil Rides Out, The (1968)",0
Jerry & Tom (1998),0
Supergirl (1984),3
X: The Unknown (1956),0
"Art of War, The (2000)",2
"Ballad of Ramblin' Jack, The (2000)",1
Bittersweet Motel (2000),0
Bring It On (2000),3
Catfish in Black Bean Sauce (2000),0
"Crew, The (2000)",1
Love & Sex (2000),1
Steal This Movie! (2000),1
Went to Coney Island on a Mission From God... Be Back by Five (1998),0
Skipped Parts (2000),0
Highlander: Endgame (2000),2
Back Stage (2000),0
Turn It Up (2000),0
Anatomy (Anatomie) (2000),0
Nurse Betty (2000),4
Solas (1999),1
"Watcher, The (2000)",2
"Way of the Gun, The (2000)",3
Almost Famous (2000),4
Bait (2000),1
Circus (2000),0
Crime and Punishment in Suburbia (2000),1
Duets (2000),2
Goya in Bordeaux (Goya en Bodeos) (1999),1
Urbania (2000),1
"Uninvited Guest, An (2000)",0
"Specials, The (2000)",0
Under Suspicion (2000),1
"Prince of Central Park, The (1999)",0
Urban Legends: Final Cut (2000),2
Woman on Top (2000),2
Dancer in the Dark (2000),3
Best in Show (2000),4
Beautiful (2000),1
Barenaked in America (1999),1
"Broken Hearts Club, The (2000)",2
Girlfight (2000),2
Remember the Titans (2000),4
Hellraiser (1987),3
Hellbound: Hellraiser II (1988),2
Hellraiser III: Hell on Earth (1992),2
"Faraway, So Close (In Weiter Ferne, So Nah!) (1993)",2
Beach Party (1963),1
Bikini Beach (1964),1
Return of the Fly (1959),2
Pajama Party (1964),1
Stranger Than Paradise (1984),2
Voyage to the Bottom of the Sea (1961),3
Fantastic Voyage (1966),3
Abbott and Costello Meet Frankenstein (1948),3
"Bank Dick, The (1940)",2
"Creature From the Black Lagoon, The (1954)",3
"Giant Gila Monster, The (1959)",1
"Invisible Man, The (1933)",3
"Killer Shrews, The (1959)",0
Kronos (1957),1
Kronos (1973),1
"Phantom of the Opera, The (1943)",2
Runaway (1984),2
"Slumber Party Massacre, The (1982)",1
"Slumber Party Massacre II, The (1987)",1
"Slumber Party Massacre III, The (1990)",0
Sorority House Massacre (1986),1
Sorority House Massacre II (1990),1
Bamboozled (2000),2
Bootmen (2000),0
Digimon: The Movie (2000),1
Get Carter (2000),2
Get Carter (1971),1
Meet the Parents (2000),4
Requiem for a Dream (2000),3
Tigerland (2000),1
Two Family House (2000),1
"Contender, The (2000)",3
